Name;Position
CC_A_loc1_100x_meas1;top
CC_A_loc1_100x_meas2;top
CC_A_loc1_100x_meas3;top
CC_A_loc2_100x_meas1;bottom
CC_A_loc2_100x_meas2;bottom
CC_A_loc2_100x_meas3;bottom
CC_A_loc3_100x_meas1;bottom
CC_A_loc3_100x_meas2;bottom
CC_A_loc3_100x_meas3;bottom
CC_B_loc1_100x_meas1;top
CC_B_loc1_100x_meas2;top
CC_B_loc1_100x_meas3;top
CC_B_loc2_100x_meas1;top
CC_B_loc2_100x_meas2;top
CC_B_loc2_100x_meas3;top
CC_B_loc3_100x_meas1;bottom
CC_B_loc3_100x_meas2;bottom
CC_B_loc3_100x_meas3;bottom
CC_B_loc4_100x_meas1;top
CC_B_loc4_100x_meas2;top
CC_B_loc4_100x_meas3;top
CC_C_loc1_100x_meas1;top
CC_C_loc1_100x_meas2;top
CC_C_loc1_100x_meas3;top
CC_C_loc2_100x_meas1;top
CC_C_loc2_100x_meas2;top
CC_C_loc2_100x_meas3;top
CC_C_loc3_100x_meas1;top
CC_C_loc3_100x_meas2;top
CC_C_loc3_100x_meas3;top
CC_D_loc1_100x_meas1;bottom
CC_D_loc1_100x_meas2;bottom
CC_D_loc1_100x_meas3;bottom
CC_D_loc2_100x_meas1;top
CC_D_loc2_100x_meas2;top
CC_D_loc2_100x_meas3;top
CC_D_loc3_100x_meas1;top
CC_D_loc3_100x_meas2;top
CC_D_loc3_100x_meas3;top
CC_E_loc1_100x_meas1;top
CC_E_loc1_100x_meas2;top
CC_E_loc1_100x_meas3;top
CC_E_loc2_100x_meas1;bottom
CC_E_loc2_100x_meas2;bottom
CC_E_loc2_100x_meas3;bottom
CC_F_loc1_100x_meas1;top
CC_F_loc1_100x_meas2;top
CC_F_loc1_100x_meas3;top
CC_F_loc2_100x_meas1;top
CC_F_loc2_100x_meas2;top
CC_F_loc2_100x_meas3;top
CC_F_loc3_100x_meas1;top
CC_F_loc3_100x_meas2;top
CC_F_loc3_100x_meas3;top
CC_F_loc4_100x_meas1;bottom
CC_F_loc4_100x_meas2;bottom
CC_F_loc4_100x_meas3;bottom
CC_G_loc1_100x_meas1;top
CC_G_loc1_100x_meas2;top
CC_G_loc1_100x_meas3;top
CC_G_loc2_100x_meas1;top
CC_G_loc2_100x_meas2;top
CC_G_loc2_100x_meas3;top
CC_G_loc3_100x_meas1;bottom
CC_G_loc3_100x_meas2;bottom
CC_G_loc3_100x_meas3;bottom
MM_A_loc1_100x_meas1;top
MM_A_loc1_100x_meas2;top
MM_A_loc2_100x_meas1;top
MM_A_loc2_100x_meas2;top
MM_A_loc3_100x_meas1;bottom
MM_A_loc3_100x_meas2;bottom
MM_A_loc4_100x_meas1;bottom
MM_A_loc4_100x_meas2;bottom
MM_B_loc1_100x_meas1;top
MM_B_loc1_100x_meas2;top
MM_B_loc2_100x_meas1;bottom
MM_B_loc2_100x_meas2;bottom
MM_B_loc3_100x_meas1;bottom
MM_B_loc3_100x_meas2;bottom
